index,movie_id,track_list
19,tt0113845,"The Train Is Coming@ Making Love@ Top of the Stairs@ Show You the Way to Go@ Still Not Over You@ Nuevo Dia@ Where Ever You Are@ All That Matters@ Oh, How I Hate to Get Up in the Morning@ Dance Without Sleeping@ I Love You...I'll Kill You@ I Remember That Night@ The Thrill I'm In@ Oh Baby"
20,tt0113161,"A Woman, A Lover, A Friend@ Green Onions@ Are You Havin' Any Fun@ I Had My Chance@ Aw Mercy@ The Lion and the Wolff@ Bo's Veranda@ Panacea@ Can't Be Still@ Rio Bravo@ Tana's Theme@ Chilli Hot@ Chubb Sub@ Tana's Theme@ Comin' Home Baby@ Up, Up and Away@ Theatreland@ Outdoor Life@ Finiculi Finicula"
21,tt0112722,Carabu Party@ Vissi D'Arte@ Sexy Ways@ Get Up to This@ Somebody to Love@ I Think I Love You@ Largo Al Factotum@ Murder by Numbers@ Fame ('90 Remix)@ In Paradisum@ Techno Boy
22,tt0112401,Like a Rolling Stone@ The Day of the Dead@ Beginning to End@ Sour Times@ Spit@ La Muerta@ Oh Mio Babbino No Caro
23,tt0114168,Roll Up Waltz@ Puppet March@ No One Like You
24,tt0113627,Angel Eyes@ It's A Lonesome Old Town@ My One and Only Love@ Lonely Teardrops@ Come Rain Or Come Shine@ Ridiculous@ I Won't Be Going South (For A While)@ The Third Man Theme@ You Turn Me On@ Ben And Sera Theme
25,tt0114057,
26,tt0114011,"Signed, Sealed, Delivered I'm Yours@ I'll Be There@ As I Lay Me Down@ Respect Yourself@ Midnight Rider@ Daydream Believer@ I'm Gonna Make You Love Me@ Band of Gold@ No Matter What@ Jennifer Eccles@ Hitchin' a Ride@ These Boots Are Made for Walking@ Raga Sind Bhiravi@ Knock Three Times@ Mexican Highway@ All Right Now@ These Eyes@ I Want You Back@ I Never Think of You@ Now and Then@ Sugar, Sugar"
27,tt0114117,Prelude in B@ Sarabande in D (French Suite)@ Nocturne in B@ Prelude in G@ Sarabande in B (French Suite)@ The Minstrel Boy@ The Dusky Night
28,tt0112682,Who Will Take Your Dreams Away@ Marinella@ Petit Papa Noël@ Deux Guitares@ Bon Anniversaire@ My Very Sweet Lady@ Serenade Gouden Hart@ Générique@ Théme De La Cité Des Enfants Perdus@ Les Enfants Sauvent One@ Mort De La Pieuvre@ Opium Prince@ Le Ra...radiateur@ La Clé De La Victoire@ Le Voyage Du Rêve@ Miette@ L'éxécution@ Les Puces@ La Foire@ Cerises Pour Un Dîner À Deux@ Krank...@ Final
29,tt0115012,
