,imdb_id,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western
0,tt0114709,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,tt0113497,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2,tt0113228,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,tt0114885,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
4,tt0113041,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,tt0113277,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
6,tt0114319,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7,tt0112302,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
8,tt0114576,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9,tt0113189,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10,tt0112346,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
11,tt0112896,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12,tt0112453,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,tt0113987,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
14,tt0112760,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,tt0112641,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16,tt0114388,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
17,tt0113101,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,tt0112281,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,tt0113845,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,tt0113161,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
21,tt0112722,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
22,tt0112401,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
23,tt0114168,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
24,tt0113627,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
25,tt0114057,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26,tt0114011,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
27,tt0114117,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
28,tt0112682,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
29,tt0115012,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30,tt0112792,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
31,tt0114746,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
32,tt0114952,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
33,tt0112431,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
34,tt0112637,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
35,tt0112818,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
36,tt0112286,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
37,tt0113442,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
38,tt0112697,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
39,tt0112749,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
40,tt0114279,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
41,tt0112819,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
42,tt0114272,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
43,tt0113855,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
44,tt0114681,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
45,tt0113347,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
46,tt0114369,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
47,tt0114148,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
48,tt0114916,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
49,tt0114814,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
50,tt0109950,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
51,tt0113819,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
52,tt0110299,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
53,tt0112499,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
54,tt0113158,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
55,tt0113321,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
